,Time (ms),Reference Temperature (C),Control (percent)
849,424500,40.0,30.0
850,425000,40.0,30.0
851,425500,40.0,30.0
852,426000,40.0,30.0
853,426500,40.0,30.0
854,427000,40.0,30.0
855,427500,40.0,30.0
856,428000,40.0,30.0
857,428500,40.0,30.0
858,429000,40.0,30.0
859,429500,40.0,30.0
860,430000,40.0,30.0
861,430500,40.0,30.0
862,431000,40.0,30.0
863,431500,40.0,30.0
864,432000,40.0,30.0
865,432500,40.0,30.0
866,433000,40.0,30.0
867,433500,40.0,30.0
868,434000,40.0,30.0
869,434500,40.0,30.0
870,435000,40.0,30.0
871,435500,40.0,30.0
872,436000,40.0,30.0
873,436500,40.0,30.0
874,437000,40.0,30.0
875,437500,40.0,30.0
876,438000,40.0,30.0
877,438500,40.0,30.0
878,439000,40.0,30.0
879,439500,40.0,30.0
880,440000,40.0,30.0
881,440500,40.0,30.0
882,441000,40.0,30.0
883,441500,40.0,30.0
884,442000,40.0,30.0
885,442500,40.0,30.0
886,443000,40.0,30.0
887,443500,40.0,30.0
888,444000,40.0,30.0
889,444500,40.0,30.0
890,445000,40.0,30.0
891,445500,40.0,30.0
892,446000,40.0,30.0
893,446500,40.0,30.0
894,447000,40.0,30.0
895,447500,40.0,30.0
896,448000,40.0,30.0
897,448500,40.0,30.0
898,449000,40.0,30.0
899,449500,40.0,30.0
900,450000,40.0,30.0
901,450500,40.0,30.0
902,451000,40.0,30.0
903,451500,40.0,30.0
904,452000,40.0,30.0
905,452500,40.0,30.0
906,453000,40.0,30.0
907,453500,40.0,30.0
908,454000,40.0,30.0
909,454500,40.0,30.0
910,455000,40.0,30.0
911,455500,40.0,30.0
912,456000,40.0,30.0
913,456500,40.0,30.0
914,457000,40.0,30.0
915,457500,40.0,30.0
916,458000,40.0,30.0
917,458500,40.0,30.0
918,459000,40.0,30.0
919,459500,40.0,30.0
920,460000,40.0,30.0
921,460500,40.0,30.0
922,461000,40.0,30.0
923,461500,40.0,30.0
924,462000,40.0,30.0
925,462500,40.0,30.0
926,463000,40.0,30.0
927,463500,40.0,30.0
928,464000,40.0,30.0
929,464500,40.0,30.0
930,465000,40.0,30.0
931,465500,40.0,30.0
932,466000,40.0,30.0
933,466500,40.0,30.0
934,467000,40.0,30.0
935,467500,40.0,30.0
936,468000,40.0,30.0
937,468500,40.0,30.0
938,469000,40.0,30.0
939,469500,40.0,30.0
940,470000,40.0,30.0
941,470500,40.0,30.0
942,471000,40.0,30.0
943,471500,40.0,30.0
944,472000,40.0,30.0
945,472500,40.0,30.0
946,473000,40.0,30.0
947,473500,40.0,30.0
948,474000,40.0,30.0
949,474500,40.0,30.0
950,475000,40.0,30.0
951,475500,40.0,30.0
952,476000,40.0,30.0
953,476500,40.0,30.0
954,477000,40.0,30.0
955,477500,40.0,30.0
956,478000,40.0,30.0
957,478500,40.0,30.0
958,479000,40.0,30.0
959,479500,40.0,30.0
960,480000,40.0,30.0
961,480500,40.0,30.0
962,481000,40.0,30.0
963,481500,40.0,30.0
964,482000,40.0,30.0
965,482500,40.0,30.0
966,483000,40.0,30.0
967,483500,40.0,30.0
968,484000,40.0,30.0
969,484500,40.0,30.0
970,485000,40.0,30.0
971,485500,40.0,30.0
972,486000,40.0,30.0
973,486500,40.0,30.0
974,487000,40.0,30.0
975,487500,40.0,30.0
976,488000,40.0,30.0
977,488500,40.0,30.0
978,489000,40.0,30.0
979,489500,40.0,30.0
980,490000,40.0,30.0
981,490500,40.0,30.0
982,491000,40.0,30.0
983,491500,40.0,30.0
984,492000,40.0,30.0
985,492500,40.0,30.0
986,493000,40.0,30.0
987,493500,40.0,30.0
988,494000,40.0,30.0
989,494500,40.0,30.0
990,495000,40.0,30.0
991,495500,40.0,30.0
992,496000,40.0,30.0
993,496500,40.0,30.0
994,497000,40.0,30.0
995,497500,40.0,30.0
996,498000,40.0,30.0
997,498500,40.0,30.0
998,499000,40.0,30.0
999,499500,40.0,30.0
1000,500000,40.0,30.0
1001,500500,40.0,30.0
1002,501000,40.0,30.0
1003,501500,40.0,30.0
1004,502000,40.0,30.0
1005,502500,40.0,30.0
1006,503000,40.0,30.0
1007,503500,40.0,30.0
1008,504000,40.0,30.0
1009,504500,40.0,30.0
1010,505000,40.0,30.0
1011,505500,40.0,30.0
1012,506000,40.0,30.0
1013,506500,40.0,30.0
1014,507000,40.0,30.0
1015,507500,40.0,30.0
1016,508000,40.0,30.0
1017,508500,40.0,30.0
1018,509000,40.0,30.0
1019,509500,40.0,30.0
1020,510000,40.0,30.0
1021,510500,40.0,30.0
1022,511000,40.0,30.0
1023,511500,40.0,30.0
1024,512000,40.0,30.0
1025,512500,40.0,30.0
1026,513000,40.0,30.0
1027,513500,40.0,30.0
1028,514000,40.0,30.0
1029,514500,40.0,30.0
1030,515000,40.0,30.0
1031,515500,40.0,30.0
1032,516000,40.0,30.0
1033,516500,40.0,30.0
1034,517000,40.0,30.0
1035,517500,40.0,30.0
1036,518000,40.0,30.0
1037,518500,40.0,30.0
1038,519000,40.0,30.0
1039,519500,40.0,30.0
1040,520000,40.0,30.0
1041,520500,40.0,30.0
1042,521000,40.0,30.0
1043,521500,40.0,30.0
1044,522000,40.0,30.0
1045,522500,40.0,30.0
1046,523000,40.0,30.0
1047,523500,40.0,30.0
1048,524000,40.0,30.0
1049,524500,40.0,30.0
1050,525000,40.0,30.0
1051,525500,40.0,30.0
1052,526000,40.0,30.0
1053,526500,40.0,30.0
1054,527000,40.0,30.0
1055,527500,40.0,30.0
1056,528000,40.0,30.0
1057,528500,40.0,30.0
1058,529000,40.0,30.0
1059,529500,40.0,30.0
1060,530000,40.0,30.0
1061,530500,40.0,30.0
