Index,Time (ms),Temperature (C),pwm_controller (percent)
00527,000263500,083.75,030.00
00528,000264000,083.75,030.00
00529,000264500,083.75,030.00
00530,000265000,084.00,030.00
00531,000265500,084.00,030.00
00532,000266000,083.75,030.00
00533,000266500,083.75,030.00
00534,000267000,083.75,030.00
00535,000267500,084.25,030.00
00536,000268000,084.25,030.00
00537,000268500,085.00,030.00
00538,000269000,085.00,030.00
00539,000269500,085.00,030.00
00540,000270000,085.25,030.00
00541,000270500,085.25,030.00
00542,000271000,086.00,030.00
00543,000271500,086.00,030.00
00544,000272000,085.75,030.00
00545,000272500,085.75,030.00
00546,000273000,085.75,030.00
00547,000273500,086.50,030.00
00548,000274000,086.50,030.00
00549,000274500,086.25,030.00
00550,000275000,086.25,030.00
00551,000275500,086.25,030.00
00552,000276000,086.25,030.00
00553,000276500,086.25,030.00
00554,000277000,087.00,030.00
00555,000277500,087.00,030.00
00556,000278000,087.25,030.00
00557,000278500,087.25,030.00
00558,000279000,087.25,030.00
00559,000279500,087.25,030.00
00560,000280000,087.25,030.00
00561,000280500,088.00,030.00
00562,000281000,088.00,030.00
00563,000281500,088.00,030.00
00564,000282000,088.25,030.00
00565,000282500,088.25,030.00
00566,000283000,088.75,030.00
00567,000283500,088.75,030.00
00568,000284000,088.75,030.00
00569,000284500,088.50,030.00
00570,000285000,088.50,030.00
00571,000285500,088.50,030.00
00572,000286000,088.50,030.00
00573,000286500,089.25,030.00
00574,000287000,089.25,030.00
00575,000287500,089.25,030.00
00576,000288000,089.25,030.00
00577,000288500,089.25,030.00
00578,000289000,090.25,030.00
00579,000289500,090.25,030.00
00580,000290000,090.25,030.00
00581,000290500,090.75,030.00
00582,000291000,090.75,030.00
00583,000291500,091.00,030.00
00584,000292000,091.00,030.00
00585,000292500,091.00,030.00
00586,000293000,091.25,030.00
00587,000293500,091.25,030.00
00588,000294000,092.00,030.00
00589,000294500,092.00,030.00
00590,000295000,092.25,030.00
00591,000295500,092.25,030.00
00592,000296000,092.25,030.00
00593,000296500,092.50,030.00
00594,000297000,092.50,030.00
00595,000297500,093.50,030.00
00596,000298000,093.50,030.00
00597,000298500,093.50,030.00
00598,000299000,093.75,030.00
00599,000299500,093.75,030.00
00600,000300000,093.75,030.00
00601,000300500,093.75,030.00
00602,000301000,094.00,030.00
00603,000301500,094.00,030.00
00604,000302000,094.00,030.00
00605,000302500,094.75,030.00
00606,000303000,094.75,030.00
00607,000303500,095.25,030.00
00608,000304000,095.25,030.00
00609,000304500,095.25,030.00
00610,000305000,095.25,030.00
00611,000305500,095.25,030.00
00612,000306000,096.00,030.00
00613,000306500,096.00,030.00
00614,000307000,096.00,030.00
00615,000307500,096.25,030.00
00616,000308000,096.25,030.00
00617,000308500,096.75,030.00
00618,000309000,096.75,030.00
00619,000309500,097.00,030.00
00620,000310000,097.00,030.00
00621,000310500,097.00,030.00
00622,000311000,097.50,030.00
00623,000311500,097.50,030.00
00624,000312000,098.00,030.00
00625,000312500,098.00,030.00
00626,000313000,098.00,030.00
00627,000313500,098.00,030.00
00628,000314000,098.00,030.00
00629,000314500,099.00,030.00
00630,000315000,099.00,030.00
00631,000315500,099.25,030.00
00632,000316000,099.25,030.00
00633,000316500,099.25,030.00
00634,000317000,099.50,030.00
00635,000317500,099.50,030.00
00636,000318000,100.00,030.00
00637,000318500,100.00,030.00
00638,000319000,100.00,030.00
00639,000319500,100.25,030.00
00640,000320000,100.25,030.00
00641,000320500,100.50,030.00
00642,000321000,100.50,030.00
00643,000321500,100.50,030.00
00644,000322000,100.75,030.00
00645,000322500,100.75,030.00
00646,000323000,101.25,030.00
00647,000323500,101.25,030.00
00648,000324000,102.00,030.00
00649,000324500,102.00,030.00
00650,000325000,102.00,030.00
00651,000325500,102.25,030.00
00652,000326000,102.25,030.00
00653,000326500,102.50,030.00
00654,000327000,102.50,030.00
00655,000327500,102.50,030.00
00656,000328000,102.75,030.00
00657,000328500,102.75,030.00
00658,000329000,103.50,030.00
00659,000329500,103.50,030.00
00660,000330000,103.50,030.00
00661,000330500,103.50,030.00
00662,000331000,103.50,030.00
00663,000331500,104.25,030.00
00664,000332000,104.25,030.00
00665,000332500,105.00,030.00
00666,000333000,105.00,030.00
00667,000333500,105.00,030.00
00668,000334000,105.25,030.00
00669,000334500,105.25,030.00
00670,000335000,105.50,030.00
00671,000335500,105.50,030.00
00672,000336000,105.50,030.00
00673,000336500,105.75,030.00
00674,000337000,105.75,030.00
00675,000337500,106.25,030.00
00676,000338000,106.25,030.00
00677,000338500,106.50,030.00
00678,000339000,106.50,030.00
00679,000339500,106.50,030.00
00680,000340000,106.50,030.00
00681,000340500,106.50,030.00
00682,000341000,107.25,030.00
00683,000341500,107.25,030.00
00684,000342000,107.25,030.00
00685,000342500,107.50,030.00
00686,000343000,107.50,030.00
00687,000343500,108.00,030.00
00688,000344000,108.00,030.00
00689,000344500,108.00,030.00
00690,000345000,108.25,030.00
00691,000345500,108.25,030.00
00692,000346000,109.00,030.00
00693,000346500,109.00,030.00
00694,000347000,108.75,030.00
00695,000347500,108.75,030.00
00696,000348000,108.75,030.00
00697,000348500,108.75,030.00
00698,000349000,108.75,030.00
00699,000349500,110.00,030.00
00700,000350000,110.00,030.00
00701,000350500,110.00,030.00
00702,000351000,110.00,030.00
00703,000351500,110.00,030.00
00704,000352000,110.75,030.00
00705,000352500,110.75,030.00
00706,000353000,111.00,030.00
00707,000353500,111.00,030.00
00708,000354000,111.00,030.00
00709,000354500,111.50,030.00
00710,000355000,111.50,030.00
00711,000355500,111.75,030.00
00712,000356000,111.75,030.00
00713,000356500,111.75,030.00
00714,000357000,111.75,030.00
00715,000357500,111.75,030.00
00716,000358000,112.50,030.00
00717,000358500,112.50,030.00
00718,000359000,112.50,030.00
00719,000359500,113.00,030.00
00720,000360000,113.00,030.00
