Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00301,000150500,066.00,22.32,000.00,0
00302,000151000,066.00,22.32,000.00,0
00303,000151500,066.00,22.32,000.00,0
00304,000152000,066.00,22.32,000.00,0
00305,000152500,066.00,22.32,000.00,0
00306,000153000,066.00,22.32,000.00,0
00307,000153500,066.50,22.33,000.00,0
00308,000154000,066.00,22.33,000.00,0
00309,000154500,066.00,22.33,000.00,0
00310,000155000,066.00,22.33,000.00,0
00311,000155500,066.00,22.33,000.00,0
00312,000156000,066.75,22.32,000.00,0
00313,000156500,066.50,22.32,000.00,0
00314,000157000,066.50,22.32,000.00,0
00315,000157500,066.75,22.33,000.00,0
00316,000158000,066.75,22.31,000.00,0
00317,000158500,066.75,22.31,000.00,0
00318,000159000,067.00,22.32,000.00,0
00319,000159500,066.75,22.32,000.00,0
00320,000160000,067.00,22.33,000.00,0
00321,000160500,067.00,22.33,000.00,0
00322,000161000,067.00,22.33,000.00,0
00323,000161500,067.25,22.32,000.00,0
00324,000162000,067.00,22.32,000.00,0
00325,000162500,067.00,22.32,000.00,0
00326,000163000,067.00,22.31,000.00,0
00327,000163500,067.25,22.31,000.00,0
00328,000164000,067.00,22.32,000.00,0
00329,000164500,067.00,22.32,000.00,0
00330,000165000,067.00,22.32,000.00,0
00331,000165500,067.25,22.32,000.00,0
00332,000166000,067.25,22.32,000.00,0
00333,000166500,067.25,22.32,000.00,0
00334,000167000,067.25,22.32,000.00,0
00335,000167500,066.75,22.32,000.00,0
00336,000168000,067.25,22.32,000.00,0
00337,000168500,067.25,22.32,000.00,0
00338,000169000,067.25,22.32,000.00,0
00339,000169500,067.25,22.33,000.00,0
00340,000170000,067.50,22.33,000.00,0
00341,000170500,067.50,22.33,000.00,0
00342,000171000,067.50,22.32,000.00,0
00343,000171500,067.50,22.32,000.00,0
00344,000172000,067.75,22.32,000.00,0
00345,000172500,067.75,22.32,000.00,0
00346,000173000,067.75,22.32,000.00,0
00347,000173500,067.75,22.33,000.00,0
00348,000174000,067.75,22.33,000.00,0
00349,000174500,067.25,22.32,000.00,0
00350,000175000,068.00,22.32,000.00,0
00351,000175500,067.75,22.33,000.00,0
00352,000176000,067.75,22.33,000.00,0
00353,000176500,067.75,22.32,000.00,0
00354,000177000,067.25,22.33,000.00,0
00355,000177500,067.75,22.32,000.00,0
00356,000178000,067.75,22.32,000.00,0
00357,000178500,067.75,22.33,000.00,0
00358,000179000,067.50,22.33,000.00,0
00359,000179500,068.00,22.33,000.00,0
00360,000180000,068.00,22.33,000.00,0
00361,000180500,068.00,22.32,000.00,0
00362,000181000,068.00,22.32,000.00,0
00363,000181500,067.50,22.33,000.00,0
00364,000182000,067.50,22.33,000.00,0
00365,000182500,068.00,22.32,000.00,0
00366,000183000,068.00,22.32,000.00,0
00367,000183500,068.00,22.32,000.00,0
00368,000184000,068.00,22.32,000.00,0
00369,000184500,068.00,22.32,000.00,0
00370,000185000,068.00,22.33,000.00,0
00371,000185500,067.75,22.32,000.00,0
00372,000186000,067.75,22.32,000.00,0
00373,000186500,068.00,22.33,000.00,0
00374,000187000,068.00,22.33,000.00,0
00375,000187500,068.00,22.33,000.00,0
00376,000188000,068.00,22.33,000.00,0
00377,000188500,068.00,22.33,000.00,0
00378,000189000,068.00,22.32,000.00,0
00379,000189500,068.25,22.32,000.00,0
00380,000190000,068.25,22.32,000.00,0
00381,000190500,067.75,22.32,000.00,0
00382,000191000,068.00,22.33,000.00,0
00383,000191500,068.00,22.33,000.00,0
00384,000192000,068.25,22.32,000.00,0
00385,000192500,067.75,22.32,000.00,0
00386,000193000,067.50,22.33,000.00,0
00387,000193500,067.50,22.33,000.00,0
00388,000194000,068.00,22.32,000.00,0
00389,000194500,068.00,22.32,000.00,0
00390,000195000,068.25,22.32,000.00,0
00391,000195500,068.25,22.32,000.00,0
00392,000196000,068.25,22.32,000.00,0
00393,000196500,068.00,22.32,000.00,0
00394,000197000,067.75,22.32,000.00,0
00395,000197500,067.75,22.32,000.00,0
00396,000198000,068.25,22.33,000.00,0
00397,000198500,067.75,22.32,000.00,0
00398,000199000,068.25,22.32,000.00,0
00399,000199500,068.25,22.32,000.00,0
00400,000200000,068.00,22.33,000.00,0
00401,000200500,068.00,22.33,000.00,0
00402,000201000,068.25,22.31,000.00,0
00403,000201500,068.25,22.31,000.00,0
00404,000202000,068.25,22.32,000.00,0
00405,000202500,068.50,22.33,000.00,0
00406,000203000,068.25,22.33,000.00,0
00407,000203500,068.25,22.33,000.00,0
00408,000204000,068.00,22.33,000.00,0
00409,000204500,067.75,22.33,000.00,0
00410,000205000,068.00,22.33,000.00,0
00411,000205500,068.00,22.33,000.00,0
00412,000206000,068.00,22.31,000.00,0
00413,000206500,068.00,22.32,000.00,0
00414,000207000,068.00,22.32,000.00,0
00415,000207500,068.25,22.31,000.00,0
00416,000208000,068.25,22.32,000.00,0
00417,000208500,067.75,22.33,001.76,0
00418,000209000,067.75,22.33,000.00,0
00419,000209500,068.00,22.32,000.00,0
00420,000210000,068.25,22.33,000.00,0
00421,000210500,067.75,22.32,004.04,0
00422,000211000,067.75,22.32,000.00,0
00423,000211500,068.25,22.32,000.00,0
00424,000212000,068.25,22.32,000.00,0
00425,000212500,068.00,22.32,000.00,0
00426,000213000,068.00,22.32,000.00,0
00427,000213500,068.25,22.32,000.00,0
00428,000214000,068.25,22.32,000.00,0
00429,000214500,068.25,22.32,000.00,0
00430,000215000,068.25,22.32,000.00,0
00431,000215500,068.25,22.32,000.00,0
00432,000216000,067.75,22.32,010.45,0
00433,000216500,067.75,22.32,000.00,0
00434,000217000,067.75,22.32,000.00,0
00435,000217500,068.25,22.32,000.00,0
00436,000218000,068.25,22.32,000.00,0
00437,000218500,068.00,22.33,002.71,0
00438,000219000,068.00,22.33,000.00,0
00439,000219500,068.25,22.32,000.00,0
00440,000220000,068.00,22.33,004.54,0
00441,000220500,068.00,22.33,000.00,0
00442,000221000,068.00,22.33,000.00,0
00443,000221500,068.00,22.32,000.00,0
00444,000222000,068.25,22.32,000.00,0
00445,000222500,068.25,22.32,000.00,0
00446,000223000,068.00,22.33,008.24,0
00447,000223500,068.00,22.33,000.00,0
00448,000224000,068.25,22.33,000.00,0
00449,000224500,068.25,22.33,000.00,0
00450,000225000,067.75,22.31,021.51,0
00451,000225500,068.00,22.33,000.00,0
00452,000226000,068.00,22.33,002.03,0
00453,000226500,068.00,22.33,002.67,0
00454,000227000,068.00,22.32,003.31,0
00455,000227500,068.00,22.32,003.95,0
00456,000228000,068.00,22.33,004.60,0
00457,000228500,068.00,22.33,005.25,0
00458,000229000,068.25,22.32,000.00,0
00459,000229500,068.00,22.32,016.54,0
00460,000230000,068.25,22.33,000.00,0
00461,000230500,068.25,22.33,007.10,0
00462,000231000,067.50,22.32,040.01,0
00463,000231500,067.75,22.32,000.00,0
00464,000232000,068.25,22.32,000.00,0
00465,000232500,068.25,22.32,009.74,0
00466,000233000,068.25,22.33,010.41,0
00467,000233500,067.75,22.32,032.58,0
00468,000234000,068.00,22.32,002.50,0
00469,000234500,068.00,22.32,013.17,0
00470,000235000,068.25,22.32,003.09,0
00471,000235500,067.75,22.32,035.27,0
00472,000236000,068.00,22.32,005.20,0
00473,000236500,068.00,22.32,015.88,0
00474,000237000,067.50,22.33,038.06,0
00475,000237500,068.25,22.32,000.00,0
00476,000238000,068.00,22.32,027.93,0
00477,000238500,068.00,22.32,018.62,0
00478,000239000,067.75,22.32,030.07,0
00479,000239500,068.00,22.32,010.01,0
00480,000240000,068.00,22.32,020.70,0
00481,000240500,067.50,22.33,044.70,0
00482,000241000,068.00,22.32,004.02,0
00483,000241500,068.00,22.33,024.85,0
00484,000242000,068.00,22.33,025.68,0
00485,000242500,068.00,22.32,026.51,0
00486,000243000,067.50,22.33,048.85,0
00487,000243500,067.00,22.32,051.20,0
00488,000244000,067.00,22.32,032.05,0
00489,000244500,068.00,22.32,000.00,0
00490,000245000,068.00,22.32,030.74,0
00491,000245500,068.00,22.32,031.59,0
00492,000246000,068.00,22.32,032.44,0
00493,000246500,068.25,22.32,022.54,0
00494,000247000,068.00,22.32,044.14,0
00495,000247500,068.25,22.32,024.25,0
00496,000248000,068.25,22.32,035.10,0
00497,000248500,068.25,22.32,035.96,0
00498,000249000,068.00,22.33,047.58,0
00499,000249500,067.50,22.32,059.95,0
00500,000250000,067.50,22.32,040.83,0
00501,000250500,068.00,22.32,020.20,0
00502,000251000,068.00,22.32,041.07,0
00503,000251500,067.75,22.32,052.70,0
00504,000252000,067.75,22.32,043.59,0
00505,000252500,067.75,22.33,044.47,0
00506,000253000,067.75,22.32,045.36,0
00507,000253500,068.25,22.32,024.74,0
00508,000254000,068.25,22.32,045.63,0
00509,000254500,068.25,22.32,046.52,0
00510,000255000,068.50,22.32,036.66,0
00511,000255500,068.50,22.32,047.55,0
00512,000256000,068.25,22.32,059.20,0
00513,000256500,068.25,22.33,050.10,0
00514,000257000,068.50,22.32,040.25,0
00515,000257500,068.50,22.32,051.15,0
00516,000258000,068.25,22.32,062.81,0
00517,000258500,068.25,22.32,053.72,0
00518,000259000,068.25,22.32,054.63,0
00519,000259500,068.25,22.32,055.55,0
00520,000260000,068.75,22.32,034.96,0
00521,000260500,068.50,22.32,066.63,0
00522,000261000,068.75,22.32,046.80,0
00523,000261500,068.75,22.32,057.72,0
00524,000262000,069.00,22.33,047.88,0
00525,000262500,069.00,22.32,058.81,0
00526,000263000,069.00,22.33,059.73,0
00527,000263500,069.00,22.33,060.66,0
00528,000264000,069.25,22.32,050.84,0
00529,000264500,069.50,22.32,051.02,0
00530,000265000,069.50,22.32,061.95,0
00531,000265500,069.50,22.32,062.88,0
00532,000266000,069.25,22.32,074.56,0
00533,000266500,069.25,22.32,065.50,0
00534,000267000,069.00,22.32,077.20,0
00535,000267500,069.00,22.32,068.15,0
00536,000268000,069.75,22.33,036.84,0
00537,000268500,069.75,22.32,067.78,0
00538,000269000,070.00,22.32,057.98,0
00539,000269500,070.00,22.32,068.93,0
00540,000270000,070.00,22.32,069.88,0
00541,000270500,070.25,22.32,060.08,0
00542,000271000,070.25,22.32,071.03,0
00543,000271500,070.25,22.32,071.98,0
00544,000272000,070.50,22.32,062.19,0
00545,000272500,070.75,22.32,062.40,0
00546,000273000,070.75,22.32,073.35,0
00547,000273500,070.75,22.32,074.31,0
00548,000274000,071.00,22.32,064.52,0
00549,000274500,070.75,22.31,086.24,0
00550,000275000,070.75,22.31,077.20,0
00551,000275500,070.50,22.32,088.93,0
00552,000276000,071.25,22.32,047.64,0
00553,000276500,071.25,22.32,078.61,0
00554,000277000,071.25,22.32,079.59,0
00555,000277500,071.75,22.31,059.06,0
00556,000278000,071.75,22.32,080.03,0
00557,000278500,072.00,22.32,070.25,0
00558,000279000,072.00,22.32,081.23,0
00559,000279500,072.00,22.31,082.20,0
00560,000280000,072.50,22.32,061.68,0
00561,000280500,072.50,22.32,082.66,0
00562,000281000,072.50,22.32,083.64,0
00563,000281500,072.75,22.31,073.87,0
00564,000282000,073.00,22.32,074.10,0
00565,000282500,073.25,22.31,074.33,0
00566,000283000,073.25,22.31,085.31,0
00567,000283500,073.50,22.31,075.54,0
00568,000284000,073.75,22.32,075.78,0
00569,000284500,074.00,22.31,076.01,0
00570,000285000,074.00,22.31,086.99,0
00571,000285500,074.00,22.31,087.98,0
00572,000286000,074.50,22.32,067.47,0
00573,000286500,074.75,22.32,077.70,0
00574,000287000,074.75,22.32,088.69,0
00575,000287500,075.00,22.31,078.92,0
00576,000288000,075.25,22.32,079.16,0
00577,000288500,075.25,22.32,090.15,0
00578,000289000,075.25,22.31,091.14,0
00579,000289500,075.75,22.32,070.64,0
00580,000290000,076.50,22.31,059.37,0
00581,000290500,076.50,22.31,090.36,0
00582,000291000,077.00,22.31,069.84,0
00583,000291500,077.00,22.31,090.83,0
00584,000292000,077.50,22.31,070.31,0
00585,000292500,077.50,22.31,091.30,0
00586,000293000,077.50,22.32,092.29,0
00587,000293500,077.75,22.31,082.53,0
00588,000294000,078.50,22.31,061.27,0
00589,000294500,078.50,22.31,092.25,0
00590,000295000,078.50,22.31,093.25,0
00591,000295500,078.75,22.31,083.48,0
00592,000296000,079.00,22.31,083.72,0
00593,000296500,079.00,22.31,094.72,0
00594,000297000,079.00,22.32,095.71,0
00595,000297500,080.00,22.32,053.70,0
00596,000298000,080.50,22.32,073.19,0
