Sample time (ms): 500
Maximum runtime (s): 720
Index,Time (ms),Oven temperature (C),Ambient temperature (C),PWM controller (percent),Thermocouple open
00622,000311000,085.75,22.50,091.54,0
00623,000311500,086.25,22.50,081.17,0
00624,000312000,086.25,22.50,100.00,0
00625,000312500,086.25,22.50,100.00,0
00626,000313000,086.75,22.50,083.07,0
00627,000313500,087.00,22.49,093.45,0
00628,000314000,087.75,22.50,072.33,0
00629,000314500,087.75,22.50,100.00,0
00630,000315000,089.00,22.49,050.84,0
00631,000315500,089.25,22.49,091.21,0
00632,000316000,089.50,22.49,091.58,0
00633,000316500,089.50,22.49,100.00,0
00634,000317000,090.50,22.50,060.83,0
00635,000317500,091.00,22.50,080.45,0
00636,000318000,091.00,22.50,100.00,0
00637,000318500,091.00,22.50,100.00,0
00638,000319000,091.75,22.49,071.56,0
00639,000319500,092.50,22.49,070.42,0
00640,000320000,093.25,22.50,069.28,0
00641,000320500,093.25,22.50,100.00,0
00642,000321000,093.75,22.49,080.00,0
00643,000321500,093.75,22.50,100.00,0
00644,000322000,094.25,22.50,080.73,0
00645,000322500,094.25,22.50,100.00,0
00646,000323000,095.75,22.50,038.44,0
00647,000323500,096.00,22.49,088.79,0
00648,000324000,096.75,22.49,067.64,0
00649,000324500,096.75,22.49,098.74,0
00650,000325000,097.25,22.49,078.34,0
00651,000325500,097.75,22.50,077.94,0
00652,000326000,097.75,22.50,099.04,0
00653,000326500,097.75,22.50,100.00,0
00654,000327000,099.00,22.49,047.48,0
00655,000327500,100.00,22.49,055.57,0
00656,000328000,100.00,22.49,096.65,0
00657,000328500,100.25,22.50,086.99,0
00658,000329000,101.25,22.50,055.07,0
00659,000329500,101.75,22.50,074.65,0
00660,000330000,101.75,22.50,095.74,0
00661,000330500,102.25,22.50,075.32,0
00662,000331000,103.00,22.50,064.14,0
00663,000331500,103.50,22.51,073.72,0
00664,000332000,103.50,22.51,094.79,0
00665,000332500,104.25,22.49,063.62,0
00666,000333000,105.00,22.50,062.43,0
00667,000333500,105.25,22.50,082.75,0
00668,000334000,105.25,22.50,093.82,0
00669,000334500,106.50,22.50,041.13,0
00670,000335000,107.25,22.51,059.94,0
00671,000335500,107.25,22.50,091.00,0
00672,000336000,107.25,22.50,092.06,0
00673,000336500,108.25,22.50,050.12,0
00674,000337000,108.75,22.50,069.67,0
00675,000337500,109.50,22.51,058.47,0
00676,000338000,109.50,22.51,089.52,0
00677,000338500,110.25,22.50,058.32,0
00678,000339000,110.75,22.50,067.86,0
00679,000339500,111.50,22.50,056.65,0
00680,000340000,111.50,22.50,087.70,0
00681,000340500,112.75,22.50,034.98,0
00682,000341000,113.25,22.50,064.51,0
00683,000341500,113.25,22.50,085.55,0
00684,000342000,113.75,22.51,065.08,0
00685,000342500,114.00,22.50,075.36,0
00686,000343000,114.75,22.51,054.14,0
00687,000343500,114.75,22.51,085.17,0
